time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
164,0,1,0,0,164,164,164,164,0,0,0
285,3,1,79,164,285,121,206,121,85,0,0
406,6,1,176,285,406,121,230,121,109,0,0
532,9,1,252,406,532,126,280,126,154,0,0
762,10,1,282,532,762,230,480,230,250,0,0
1130,11,1,311,762,1130,368,819,368,451,0,0
1251,14,1,401,1130,1251,121,850,121,729,0,0
1431,15,1,434,1251,1431,180,997,180,817,0,0
1620,18,1,531,1431,1620,189,1089,189,900,0,0
1745,19,1,554,1620,1745,125,1191,125,1066,0,0
2281,20,1,583,1745,2281,536,1698,536,1162,0,0
2404,22,1,645,2281,2404,123,1759,123,1636,0,0
2525,25,1,733,2404,2525,121,1792,121,1671,0,0
2646,26,1,761,2525,2646,121,1885,121,1764,0,0
2798,28,1,827,2646,2798,152,1971,152,1819,0,0
2919,29,1,861,2798,2919,121,2058,121,1937,0,0
3060,30,1,892,2919,3060,141,2168,141,2027,0,0
3181,31,1,918,3060,3181,121,2263,121,2142,0,0
3302,33,1,973,3181,3302,121,2329,121,2208,0,0
3423,37,1,1100,3302,3423,121,2323,121,2202,0,0
3544,39,1,1165,3423,3544,121,2379,121,2258,0,0
3666,40,1,1194,3544,3666,122,2472,122,2350,0,0
3929,42,1,1248,3666,3929,263,2681,263,2418,0,0
4138,43,1,1274,3929,4138,209,2864,209,2655,0,0
4296,44,1,1315,4138,4296,158,2981,158,2823,0,0
4417,46,1,1381,4296,4417,121,3036,121,2915,0,0
6217,49,1,1471,4417,6217,1800,4746,1800,2946,0,0
6347,51,1,1537,6217,6347,130,4810,130,4680,0,0
6468,53,1,1612,6347,6468,121,4856,121,4735,0,0
6590,59,1,1779,6468,6590,122,4811,122,4689,0,0
