time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
0,0,0,0,0,0,0,1,0
30,0,0,0,0,0,1,1,0
53,0,0,0,0,0,1,2,0
79,0,0,0,0,0,1,3,0
99,0,0,0,0,0,2,3,0
132,0,0,0,0,0,3,3,0
164,0,0,0,0,0,3,2,1
176,0,0,0,0,0,3,3,1
180,0,0,0,0,0,3,2,2
200,0,0,0,0,0,3,1,3
204,0,0,0,0,0,3,2,3
227,0,0,0,0,0,4,2,3
252,0,0,0,0,0,4,3,3
282,0,0,0,0,0,5,3,3
297,0,0,0,0,0,4,3,4
311,0,0,0,0,0,5,3,4
328,0,0,0,0,0,4,3,5
337,0,0,0,0,0,5,3,5
363,0,0,0,0,0,6,3,5
378,0,0,0,0,0,5,3,6
401,0,0,0,0,0,6,3,6
434,0,0,0,0,0,7,3,6
471,0,0,0,0,0,8,3,6
483,0,0,0,0,0,7,3,7
504,0,0,0,0,0,8,3,7
527,0,0,0,0,0,7,3,8
531,0,0,0,0,0,8,3,8
554,0,0,0,0,0,9,3,8
583,0,0,0,0,0,10,3,8
611,0,0,0,0,0,11,3,8
614,0,0,0,0,0,9,4,9
645,0,0,0,0,0,10,4,9
648,0,0,0,0,0,9,4,10
680,0,0,0,0,0,10,4,10
707,0,0,0,0,0,11,4,10
733,0,0,0,0,0,12,4,10
746,0,0,0,0,0,11,4,11
761,0,0,0,0,0,12,4,11
773,0,0,0,0,0,11,4,12
793,0,0,0,0,0,12,4,12
794,0,0,0,0,0,11,4,13
803,0,0,0,0,0,10,4,14
827,0,0,0,0,0,11,4,14
861,0,0,0,0,0,12,4,14
892,0,0,0,0,0,13,4,14
896,0,0,0,0,0,12,4,15
915,0,0,0,0,0,11,4,16
918,0,0,0,0,0,12,4,16
924,0,0,0,0,0,11,4,17
944,0,0,0,0,0,12,4,17
973,0,0,0,0,0,13,4,17
1008,0,0,0,0,0,14,4,17
1036,0,0,0,0,0,13,4,18
1042,0,0,0,0,0,14,4,18
1048,0,0,0,0,0,13,4,19
1065,0,0,0,0,0,13,3,20
1067,0,0,0,0,0,14,3,20
1100,0,0,0,0,0,14,4,20
1139,0,0,0,0,0,15,4,20
1157,0,0,0,0,0,15,3,21
1165,0,0,0,0,0,15,4,21
1169,0,0,0,0,0,15,3,22
1194,0,0,0,0,0,15,4,22
1221,0,0,0,0,0,15,3,23
1223,0,0,0,0,0,16,3,23
1248,0,0,0,0,0,16,4,23
1274,0,0,0,0,0,17,4,23
1282,0,0,0,0,0,16,4,24
1286,0,0,0,0,0,16,3,25
1315,0,0,0,0,0,16,4,25
1316,0,0,0,0,0,16,3,26
1347,0,0,0,0,0,17,3,26
1381,0,0,0,0,0,17,4,26
1414,0,0,0,0,0,18,4,26
1447,0,0,0,0,0,19,4,26
1471,0,0,0,0,0,20,4,26
1473,0,0,0,0,0,19,4,27
1491,0,0,0,0,0,19,3,28
1499,0,0,0,0,0,20,3,28
1502,0,0,0,0,0,19,3,29
1511,0,0,0,0,0,19,2,30
1537,0,0,0,0,0,19,3,30
1580,0,0,0,0,0,20,3,30
1612,0,0,0,0,0,21,3,30
1624,0,0,0,0,0,20,3,31
1644,0,0,0,0,0,21,3,31
1667,0,0,0,0,0,20,3,32
1676,0,0,0,0,0,21,3,32
1701,0,0,0,0,0,22,3,32
1729,0,0,0,0,0,23,3,32
1750,0,0,0,0,0,23,3,33
1779,0,0,0,0,0,24,3,33
1788,0,0,0,0,0,23,3,34
1871,0,0,0,0,0,22,3,35
1910,0,0,0,0,0,22,2,36
1994,0,0,0,0,0,21,2,37
2115,0,0,0,0,0,20,2,38
2248,0,0,0,0,0,20,1,39
3273,0,0,0,0,0,19,1,40
3394,0,0,0,0,0,18,1,41
3537,0,0,0,0,0,17,1,42
3658,0,0,0,0,0,16,1,43
3779,0,0,0,0,0,15,1,44
3902,0,0,0,0,0,14,1,45
4028,0,0,0,0,0,13,1,46
4149,0,0,0,0,0,12,1,47
4320,0,0,0,0,0,11,1,48
4448,0,0,0,0,0,10,1,49
4570,0,0,0,0,0,10,0,50
