time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
0,0,0,0,0,0,1,0,0
30,0,0,0,0,0,2,0,0
53,0,0,0,0,0,3,0,0
79,0,0,0,0,0,4,0,0
99,0,0,0,0,0,5,0,0
132,0,0,0,0,0,6,0,0
176,0,0,0,0,0,7,0,0
204,0,0,0,0,0,8,0,0
227,0,0,0,0,0,9,0,0
252,0,0,0,0,0,10,0,0
282,0,0,0,0,0,11,0,0
311,0,0,0,0,0,12,0,0
337,0,0,0,0,0,13,0,0
363,0,0,0,0,0,14,0,0
401,0,0,0,0,0,15,0,0
434,0,0,0,0,0,16,0,0
471,0,0,0,0,0,17,0,0
504,0,0,0,0,0,18,0,0
531,0,0,0,0,0,19,0,0
554,0,0,0,0,0,20,0,0
583,0,0,0,0,0,21,0,0
611,0,0,0,0,0,22,0,0
645,0,0,0,0,0,23,0,0
680,0,0,0,0,0,24,0,0
707,0,0,0,0,0,25,0,0
733,0,0,0,0,0,26,0,0
761,0,0,0,0,0,27,0,0
793,0,0,0,0,0,28,0,0
827,0,0,0,0,0,29,0,0
861,0,0,0,0,0,30,0,0
892,0,0,0,0,0,31,0,0
918,0,0,0,0,0,32,0,0
944,0,0,0,0,0,33,0,0
973,0,0,0,0,0,34,0,0
1008,0,0,0,0,0,35,0,0
1042,0,0,0,0,0,36,0,0
1067,0,0,0,0,0,37,0,0
1100,0,0,0,0,0,38,0,0
1139,0,0,0,0,0,39,0,0
1165,0,0,0,0,0,40,0,0
1194,0,0,0,0,0,41,0,0
1223,0,0,0,0,0,42,0,0
1248,0,0,0,0,0,43,0,0
1274,0,0,0,0,0,44,0,0
1315,0,0,0,0,0,45,0,0
1347,0,0,0,0,0,46,0,0
1381,0,0,0,0,0,47,0,0
1414,0,0,0,0,0,48,0,0
1447,0,0,0,0,0,49,0,0
1471,0,0,0,0,0,50,0,0
1499,0,0,0,0,0,51,0,0
1537,0,0,0,0,0,52,0,0
1580,0,0,0,0,0,53,0,0
1612,0,0,0,0,0,54,0,0
1644,0,0,0,0,0,55,0,0
1676,0,0,0,0,0,56,0,0
1701,0,0,0,0,0,57,0,0
1729,0,0,0,0,0,58,0,0
1750,0,0,0,0,0,59,0,0
1779,0,0,0,0,0,60,0,0
